まぐろ - maguro,Tuna
かつお - katsuo,Bonito
さんま - sanma,Pacific saury
あじ - aji,taste
さば - saba,Mackerel
イカ - ika,squid
タコ - tako,octopus
むし - mushi,insect
ちょう - chō,Butterfly
ガ - ga,Moth
せみ - semi,Cicada
トンボ - tonbo,Dragonfly
バッタ - batta,Locust
クモ - kumo,Spider
ホタル - hotaru,fire Fly
ハエ - hae,Flies
カ - ka,Mosquitoes
ゴキブリ - gokiburi,cockroach
カタツムリ - katatsumuri,snails
ナメクジ - namekuji,A slug
ミミズ - mimizu,Earthworm
かい - kai,Or
かいがら - kaigara,Shell
トカゲ - tokage,Lizard
へび - hebi,Snake
しょくぶつ - plants,Plant
くさ - grass,Bitterness
はな - flower,Flower
み - fruit,Body
き - tree,Can
は or はっぱ - leaf,It is or leaves
ね or ねっこ - root,I or roots
くき - stem,Kuki
きのこ - mushroom,mushroom
きく - chrysanthemum,listen
さくら - cherry blossom,Cherry Blossoms
こめ - kome,Rice
いね - ine,Rice
むぎ - mugi,Mugi
やさい - yasai,Vegetables
くだもの - kudamono,Fruit
いも - imo,Potatoes
まめ - mame,Diligent
だいこん - daikon,Radish
にんじん - ninjin,Carrots
リンゴ - ringo,Apple
ミカン - mikan,Orange
バナナ - banana,Banana
ナシ - nashi,Pear
クリ - kuri,Chestnut
モモ - momo,peach
トマト - tomato,Tomato
スイカ - suika,watermelon
たべもの - tabemono,Food
ちょうしょく - chōshoku,Breakfast
ひるごはん - hirugohan,lunch
ばんごはん - bangohan,dinner
ごはん - gohan,rice
みそ - miso,Miso
りょうり - ryōri,Cooking
サラダ - sarada,salad
デザート - dezāto,dessert
パン - pan,Bread
サンドイッチ - sandoitchi,sandwich
おやつ - oyatsu,snack
アイスクリーム - aisukurīmu,ice cream
のみもの - nomimono,Drink
ちゃ - cha,Cha
おちゃ - ocha,Tea
コーヒー - kōhī,coffee
ぎゅうにゅう - gyūnyū,milk
みず - mizu,Water
ビール - bīru,beer
ワイン - wain,wine
さとう - satō,Sugar
しお - shio,Salt
しょうゆ - shōyu,soy sauce
じかん - jikan,Time
とき - toki,When
こよみ - koyomi,Calendar
ふん - fun,Hmm
びょう - byō,tack
"ひ、にち - hi, nichi","Shed, day"
"つき、げつ - tsuki, gatsu","Month, month"
いちがつ - ichigatsu,January
にがつ - nigatsu,February
さんがつ - sangatsu,March
しがつ - shigatsu,April
ごがつ - gogatsu,May
ろくがつ - rokugatsu,June
しちがつ - shichigatsu,July
はちがつ - hachigatsu,August
くがつ - kugatsu,September
じゅうがつ - jūgatsu,October
じゅういちがつ - jūichigatsu,November
じゅうにがつ - jūnigatsu,December
"とし、ねん - toshi, nen","And,"
きょねん - kyonen,Last year
ことし - kotoshi,This year
らいねん - rainen,Next year
きのう - kinō,Yesterday
きょう - kyō,Today
あした - ashita,Tomorrow
あさ - asa,morning
けさ - kesa,This morning
ひる - hiru,Noon
ゆうがた - yūgata,Evening
ばん - ban,night
よる - yoru,According
ようび - yōbi,Day of the week
しゅう - shū,Week
せんしゅう - senshū,Last week
こんしゅう - konshū,This week
らいしゅう - raishū,Next week
いっしゅうかん - isshūkan,a week
にちようび - nichi-yōbi,Sunday
げつようび - getsu-yōbi,Monday
かようび - ka-yōbi,Tuesday
すいようび - sui-yōbi,Wednesday
もくようび - moku-yōbi,Thursday
きんようび - kin-yōbi,Friday
どようび - do-yōbi,Saturday
たいよう - taiyō,Taiyo
つき - tsuki,luck
ほし - hoshi,Hoshi
てんき - tenki,Weather
はれ - hare,Sunny
あめ - ame,Rain
くもり - kumori,Cloudiness
ゆき - yuki,snow
かぜ - kaze,Wind
かみなり - kaminari,Thunder
たいふう - taifū,Typhoon
あらし - arashi,Storm
そら - sora,Sky
きた - kita,Came
ひがし - higashi,East
みなみ - minami,South
にし - nishi,West
ここ - koko,here
そこ - soko,There
あそこ - asoko,over there
みぎ - migi,Right
ひだり - hidari,Left
うえ - ue,above
した - shita,did
まえ - mae,Before
うしろ - ushiro,Behind
むこう - mukō,over there
ななめ - naname,Diagonally
てまえ - temae,This side
とおい - tooi,Distant
ちかい - chikai,Reclamation
みず - mizu,Water
ゆ - yu,Yu
こおり - kōri,Ice
ゆげ - yuge,Steam
ひ - hi,Shed
ガス - gasu,gas
くうき - kūki,Air
つち - tsuchi,soil
きんぞく - kinzoku,Metal
どろ - doro,Mud
けむり - kemuri,Smoke
てつ - tetsu,Iron
どう - dō,How
きん - kin,Gold
ぎん - gin,Silver
なまり - namari,Accent
しお - shio,Salt
メートル - mētoru,Meter
リットル - rittoru,liter
グラム - guramu,Gram
キロ - kiro,Kilometer
ミリ - miri,Miri
センチメートル - senchimētoru,Centimeter
インチ - inchi,inch
しゃかい - shakai,Society
けいざい - keizai,Economy
かいしゃ - kaisha,Corporation
かいぎ - kaigi,Conference
がっこう - gakkō,School
やくしょ - yakusho,Hall
みせ - mise,Show
ホテル - hoteru,Hotels
こうじょう - kōjō,Improvement
かね - kane,whether
さつ - satsu,Fuzz
こぜに - kozeni,Coin
つりせん - tsurisen,Change
おつり - otsuri,change
じどうはんばいき - jidōhanbaiki,Graffiti
きっぷ - kippu,Tickets
きって - kitte,Stamp
つくえ - tsukue,Desk
いす - isu,Chair
たたみ - tatami,Tatami
と - to,When
とびら - tobira,Door
ドア - doa,door
まど - mado,Window
ふとん - futon,Futon
げんかん - genkan,Hallway
いえ - ie,House
エレベーター - erebētā,Elevator
エスカレーター - esukarētā,escalator
でんき - denki,Electricity
くぎ - kugi,The nails
ひも - himo,String
なわ - nawa,Do not
ふくろ - fukuro,Return path
かばん - kaban,bag
かさ - kasa,Umbrella
かぎ - kagi,Key
ちょうこく - chōkoku,Sculpture
ぶんぼうぐ - bunbōgu,Stationery
インク - inku,ink
ペン - pen,pen
ボールペン - bōrupen,Ballpoint pen
まんねんひつ - mannenhitsu,Fountain pen
えんぴつ - enpitsu,Pencil
ふで - fude,brush
チョーク - chōku,Chalk
けしゴム - keshigomu,Eraser
えんぴつけずり - enpitsu-kezuri,Pencil Sharpener
じょうぎ - jōgi,Ruler
ノート - nōto,Note
にっき - nikki,Diary
カバー - kabā,cover
ふうとう - fūtō,Envelope
はさみ - hasami,The scissors
ホッチキス - hotchikisu,Stapler
ふく - fuku,Clothes
ようふく - yōfuku,Clothes
きもの - kimono,Kimono
わふく - wafuku,Japanese clothes
そで - sode,Sleeves
えり - eri,Eri
ボタン - botan,button
チャック - chakku,Chuck
ジッパー - jippā,zipper
ファスナー - fasunā,fastener
ベルト - beruto,belt
くつ - kutsu,Shoes
くつした - kutsushita,Socks
めがね - megane,Glasses
てつどう - tetsudō,Railway
えき - eki,station
ひこうき - hikōki,Airplane
くうこう - kūkō,Airport
ひこうじょう - hikōjō,Airport
みち - michi,Road
どうろ - dōro,Road
バスてい - basutei,bus stop
とおり - tōri,Street
でんしゃ - densha,train
くるま - kuruma,Car
じどうしゃ - jidōsha,Automobile
もじ - moji,Moji
じ - ji,Flip
かんじ - kanji,Feeling
ひらがな - hiragana,Hiragana
カタカナ - katakana,Katakana
すうじ - sūji,The numbers
アルファベット - arufabetto,Alphabet
ローマ字 - rōmaji,Roman letters
がいこくご - gaikokugo,foreign language
にほんご - nihongo,Japanese
こくご - kokugo,National language
えいご - eigo,English
ちゅうごくご - chūgokugo,Chinese
どいつご - doitsugo,Doitsugo
すぺいんご - supeingo,Spanish
ふらんすご - furansugo,French
ちょうせんご - chōsengo,Korea your
かんこくご - kankokugo,Korean
ほん - hon,Books
かみ - kami,God
てがみ - tegami,Letter
しんぶん - shinbun,Newspaper
じしょ - jisho,Dictionary
パソコン - pasokon,computer
"いろ - iro, shikisai",Colors
あか - aka,Red
きいろ - kiiro,yellow
みどり - midori,Green
あお - ao,Green
バイオレット - baioretto,Violet
しろ - shiro,White
くろ - kuro,Black
ピンク - pinku,pink
ちゃいろ - chairo,Brown
はいいろ - haiiro,Gray
ねずみいろ - nezumiiro,Gray
オレンジ - orenji,Orange
え - e,e
おんがく - ongaku,Music
りか - rika,Rika
さんすう - sansū,Arithmetic
れきし - rekishi,Historical
ちり - chiri,The dust
たいいく - taiiku,physical education
スポーツ - supōtsu,Sport
システム - shisutemu,system
じょうほう - jōhō,Information
ひつよう - hitsuyō,Need
べんきょう - benkyō,Study
いらい - irai,Since then
れい - rei,Zero
ゼロ - zero,zero
いち - ichi,Ichi
に - ni,To
さん - san,Mr.
"よん、し - yon, shi","I N, tooth"
ご - go,Your
ろく - roku,Good
"なな、しち - nana, shichi","Nana, cytidine"
はち - hachi,Bee
"きゅう、く - kyū, ku","Old, Ku"
じゅう - jū,Ten
ひゃく - hyaku,Hundred
せん - sen,To do
まん - man,Man
おく - oku,deep
ひとつ - hitotsu,One
ふたつ - futatsu,Two
みっつ - mittsu,Three
よっつ - yottsu,Four
いつつ - itsutsu,Five
むっつ - muttsu,Six
ななつ - nanatsu,Seven
やっつ - yattsu,Eight
ここのつ - kokonotsu,Nine
とお - tō,Distant
これ - kore,this
それ - sore,It
あれ - are,that
どれ - dore,which one
こちら - kochira,Here
そちら - sochira,There
あちら - achira,Over there
どちら - dochira,"Both, Which"
ひみつ - himitsu,secret
じどう - jidō,Auto
ないよう - naiyō,Internal use
はば - haba,Width
せいしき - seishiki,Formality
けっこん - kekkon,Married
げんざい - genzai,Current
いま - ima,Now
かこ - kako,Kako
みらい - mirai,Future
"いい、よい - ii, yoi","Good, good"
すごい - sugoi,An amazing
すばらしい - subarashii,great
わるい - warui,Bad
たかい - takai,Tall
ひくい - hikui,Low
やすい - yasui,Cheap
おおきい - ōkii,Big
ちいさい - chiisai,Small
ほそい - hosoi,Slender
ふとい - futoi,Thick
ふるい - furui,sieve
あたらしい - atarashii,New
わかい - wakai,Young
かるい - karui,Karui
おもい - omoi,Heavy
やさしい - yasashii,Easy
むずかしい - muzukashii,Difficult
やわらかい - yawarakai,Soft
かたい - katai,Hard
あつい - atsui,Hot
つめたい - tsumetai,Cold
さむい - samui,Cold
おいしい - oishii,Delicious
"うまい - appetizing, umai",good
まずい - mazui,Unpalatable
あまい - amai,Sweet
からい - karai,Spicy
しょっぱい - shoppai,salty
にがい - nigai,Bitter
うつくしい - utsukushii,Beautiful
うれしい - ureshii,I'm happy
たのしい - tanoshii,Fun
かなしい - kanashii,Sad
さびしい - sabishii,Lonely
さみしい - samishii,Lonely
こわい - kowai,Scary
いたい - itai,Ouch
かゆい - kayui,itch
くさい - kusai,Stinking
つらい - tsurai,Painful
する - suru,Make
やる - yaru,do
いる - iru,Are
ある - aru,is there
なる - naru,Become
おこる - okoru,Occur
おこる - okoru,Occur
あらわれる - arawareru,Appear
いきる - ikiru,Live
うむ - umu,Presence or absence
しぬ - shinu,Die
こわれる - kowareru,Breaks
いく - iku,Come
くる - kuru,come
かえる - kaeru,Frog
かえる - kaeru,Frog
あるく - aruku,Walking
とぶ - tobu,Flying
およぐ - oyogu,Swim
うごく - ugoku,Moving
おどる - odoru,Dance
ねる - neru,Neru
うたう - utau,sing
かむ - kamu,To bite
たべる - taberu,Eat
のむ - nomu,Drink
さわる - sawaru,Jangle
なげる - nageru,Throw
もつ - motsu,With
うつ - utsu,The depression
なぐる - naguru,Hitting
さす - sasu,It refers to
さす - sasu,It refers to
さす - sasu,It refers to
ける - keru,Kicking
すわる - suwaru,Sit
たつ - tatsu,Tatsu
はしる - hashiru,Run
あく - aku,Evil
こむ - komu,It is crowded
いる - iru,Are
かわく - kawaku,Thirst
みだす - midasu,Disturb
みだれる - midareru,Be disturbed
つかえる - tsukaeru,Lodge
そなわる - sonawaru,Be possessed of
すぐれる - sugureru,Excellent
ひえる - hieru,Cool down
さめる - sameru,Wake
さめる - sameru,Wake
むく - muku,peel
たおれる - taoreru,Fall
かたまる - katamaru,Hardens
うまる - umaru,Be filled
うもれる - umoreru,Umoreru
ます - masu,You
ふえる - fueru,Increase
へる - heru,decrease
はずれる - hazureru,Deviate
ふとる - futoru,Fattening
はじまる - hajimaru,Begins
おわる - owaru,END
きめる - kimeru,Decide
みる - miru,View
きく - kiku,listen
さわる - sawaru,Jangle
かぐ - kagu,Snuff
いう - iu,Say
はなす - hanasu,Release
かたる - kataru,Catarrh
かく - kaku,Nuclear
よむ - yomu,Reading
つかう - tsukau,Spending
つくる - tsukuru,to make
なおす - naosu,fix
すてる - suteru,Cast aside
とる - toru,Take up
おく - oku,deep
かなしむ - kanashimu,Mourn
なく - naku,Bark
わらう - warau,Laugh
おこる - okoru,Occur
ほめる - homeru,compliment
しかる - shikaru,Scold
よろこぶ - yorokobu,Pleased
よろこび - yorokobi,Joy
なぐさめる - nagusameru,Comfort
あきる - akiru,Tired
おどろく - odoroku,Surprised
あう - au,meet
あける - akeru,Open
あそぶ - asobu,Playing
あつまる - atsumaru,Gather
うる - uru,sell
える - eru,Obtain
おる - oru,Oru
かう - kau,Cow
きる - kiru,Wear
きる - kiru,Wear
はく - haku,foil
かえる - kaeru,Frog
かえる - kaeru,Frog
しめる - shimeru,Close
しめる - shimeru,Close
しめる - shimeru,Close
しる - shiru,Know
つかれる - tsukareru,Is stuck
でかける - dekakeru,Go out
はたらく - hataraku,Work
はなす - hanasu,Release
やすむ - yasumu,Rest
わかれる - wakareru,Break up
わかれる - wakareru,Break up
もう - mō,Already
まだ - mada,yet
ずっと - zutto,More
とても - totemo,very much
こう - kō,like this
そう - sō,so
ああ - ā,Oh
どう - dō,How
しばしば - shibashiba,often
この - kono,this
その - sono,That
あの - ano,that
どの - dono,Which
はい - hai,Okay
いいえ - iie,No
でも - demo,But
しかし - shikashi,However
そして - soshite,And
それに - soreni,in addition
なぜなら - nazenara,Because
が - ga,But
で - de,so
と - to,When
に - ni,To
の - no,of
へ - e,What
まで - made,Until
から - kara,From
より - yori,Than
を - o,The
および - oyobi,and
か - ka,Or
かも - kamo,maybe
そして - soshite,And
それとも - soretomo,Or
だの - dano,The I
つつ - tsutsu,While
て - te,hand
と - to,When
ながら - nagara,Though
ならびに - narabini,As well as
なり - nari,Will
に - ni,To
の - no,of
ので - node,Since the
また - mata,Also
または - matawa,Or
も - mo,Also
や - ya,Ya
ね - ne,I
か - ka,Or
な - na,I
かしら - kashira,I wonder if
っけ - -kke,Kke
こそ - koso,What
さえ - sae,even
しか - shika,Only
すら - sura,Shaved
くらい、ぐらい - kurai,"Much, about"
だけ - dake,Only
だって - datte,Because
ったら - ttara,Once Tsu
って - tte,I
でも - demo,But
どころ - dokoro,Far from
など - nado,Such
なら - nara,Nara
なんか - nanka,Something
なんて - nante,Nante
は - wa ,It is
ばかり、ばっかり - bakari,"Only, just"
まで - made,Until
も - mo,Also
